排名,区间内序号,日期,收盘价(元),标准化_收盘价(元)
1,0,2018-02-05,1339.29,1.1716731189174998
1,1,2018-02-06,1323.73,-0.3124645252463831
1,2,2018-02-07,1318.05,-0.858582449478199
1,3,2018-02-08,1318.85,-0.7815221994189376
1,4,2018-02-09,1315.688,-1.086376047150417
1,5,2018-02-12,1322.389,-0.44118674421667975
1,6,2018-02-13,1329.159,0.2073344785266757
1,7,2018-02-14,1350.13,2.1954541479806653
1,8,2018-02-15,1353.23,2.486721679064274
1,9,2018-02-16,1347.06,1.9063454911288205
1,10,2018-02-19,1345.8,1.787497765434861
1,11,2018-02-20,1329.12,0.20360800431189266
1,12,2018-02-21,1324.316,-0.2562554847445226
1,13,2018-02-22,1331.889,0.4679163296103478
1,14,2018-02-23,1328.55,0.149131669284596
1,15,2018-02-26,1333.1,0.5833367963328028
1,16,2018-02-27,1318.19,-0.8450935299245296
1,17,2018-02-28,1317.81,-0.8817096452748366
1,18,2018-03-01,1316.69,-0.9896922799850106
1,19,2018-03-02,1319.091,-0.7583169607410105
1,20,2018-03-05,1320.05,-0.6660194248804778
1,21,2018-03-06,1334.5,0.7166402620529029
1,22,2018-03-07,1325.4,-0.1523438799369201
1,23,2018-03-08,1321.231,-0.5524479166837051
1,24,2018-03-09,1323.35,-0.34892737489874937
1,25,2018-03-12,1323.0,-0.3825208427488352
1,26,2018-03-13,1326.2,-0.07571083825931677
1,27,2018-03-14,1324.7,-0.21943574454148382
1,28,2018-03-15,1316.2,-1.0369635688783527
1,29,2018-03-16,1314.2,-1.2300902856369742
2,0,1985-05-01,312.5,-0.8985358440923253
2,1,1985-05-02,313.25,-0.696199963950622
2,2,1985-05-03,312.75,-0.831036644775867
2,3,1985-05-07,313.5,-0.6288623104015598
2,4,1985-05-08,312.85,-0.8040520715770123
2,5,1985-05-09,315.1,-0.1991687613930698
2,6,1985-05-10,314.5,-0.36004761107474953
2,7,1985-05-13,321.0,1.366685579267466
2,8,1985-05-14,326.5,2.800674024428689
2,9,1985-05-15,322.75,1.8256026007800958
2,10,1985-05-16,320.1,1.1296959685152368
2,11,1985-05-17,322.5,1.7601955891793934
2,12,1985-05-20,323.3,1.9693198689524198
2,13,1985-05-21,314.9,-0.25276098176302925
2,14,1985-05-22,316.25,0.10832791473703045
2,15,1985-05-23,315.4,-0.11884417714216591
2,16,1985-05-24,314.7,-0.30638725055989136
2,17,1985-05-28,311.25,-1.236843889152658
2,18,1985-05-29,312.0,-1.0336963921834919
2,19,1985-05-30,314.6,-0.3332131666436447
2,20,1985-05-31,314.0,-0.494347948471871
2,21,1985-06-03,318.1,0.6006579204700481
2,22,1985-06-04,315.65,-0.051965365112274516
2,23,1985-06-05,314.2,-0.44060216872088104
2,24,1985-06-06,314.8,-0.2795698574043275
2,25,1985-06-07,314.3,-0.41374210668129524
2,26,1985-06-10,312.0,-1.0336963921834919
2,27,1985-06-11,315.0,-0.22596061822715505
2,28,1985-06-12,314.5,-0.36004761107474953
2,29,1985-06-13,313.75,-0.5615783337442525
3,0,2022-02-23,1908.658,-1.0224770940518388
3,1,2022-02-24,1903.8,-1.1712530841602504
3,2,2022-02-25,1889.07,-1.6246902815706894
3,3,2022-02-28,1908.67,-1.0221100637339826
3,4,2022-03-01,1945.13,0.0825295702539673
3,5,2022-03-02,1928.71,-0.41236677444602154
3,6,2022-03-03,1935.69,-0.20147774257030618
3,7,2022-03-04,1970.95,0.8523530404891572
3,8,2022-03-07,1997.67,1.6384636745135397
3,9,2022-03-08,2050.168,3.152806341980053
3,10,2022-03-09,1991.3,1.4520150417410203
3,11,2022-03-10,1996.68,1.6095256247993217
3,12,2022-03-11,1988.23,1.3619436547822177
3,13,2022-03-14,1950.3,0.23748812783794085
3,14,2022-03-15,1917.8,-0.7435278016249821
3,15,2022-03-16,1926.96,-0.4653597607378334
3,16,2022-03-17,1942.6,0.006548630933944398
3,17,2022-03-18,1921.198,-0.6401836810939607
3,18,2022-03-21,1935.5,-0.20720819993531633
3,19,2022-03-22,1921.2,-0.6401229084935776
3,20,2022-03-23,1943.3,0.02758092261775329
3,21,2022-03-24,1957.3,0.4466432839304409
3,22,2022-03-25,1957.69,0.458274205388653
3,23,2022-03-28,1922.49,-0.6009377557122151
3,24,2022-03-29,1919.1,-0.7039690060769584
3,25,2022-03-30,1932.63,-0.2938367582069129
3,26,2022-03-31,1936.9,-0.16499696920969747
3,27,2022-04-01,1924.778,-0.5315018982895722
3,28,2022-04-04,1932.3,-0.3038057784987957
3,29,2022-04-05,1923.3,-0.5763465608550972
4,0,1977-03-30,149.45,0.47860684444760826
4,1,1977-03-31,148.9,0.11368903781044806
4,2,1977-04-01,148.3,-0.28594360207019126
4,3,1977-04-04,150.3,1.0399375696723427
4,4,1977-04-05,148.65,-0.05262850988617686
4,5,1977-04-06,148.6,-0.08592558315040084
4,6,1977-04-07,148.7,-0.019342634561740322
4,7,1977-04-12,149.7,0.6440348444238686
4,8,1977-04-13,152.2,2.2832831350986016
4,9,1977-04-14,152.05,2.1856901450934867
4,10,1977-04-15,150.65,1.2701516111305862
4,11,1977-04-18,151.0,1.499831424265224
4,12,1977-04-19,150.45,1.1386663053843162
4,13,1977-04-20,149.5,0.511714571581673
4,14,1977-04-21,148.1,-0.4195138643722212
4,15,1977-04-22,149.7,0.6440348444238686
4,16,1977-04-25,148.75,0.01393205035224545
4,17,1977-04-26,147.15,-1.056445931206875
4,18,1977-04-27,147.5,-0.8213096097174152
4,19,1977-04-28,145.6,-2.1045315677006795
4,20,1977-04-29,147.25,-0.9892071043380277
4,21,1977-05-02,148.35,-0.2525791826258562
4,22,1977-05-03,148.25,-0.31931927237276575
4,23,1977-05-04,148.1,-0.4195138643722212
4,24,1977-05-05,146.95,-1.1910607759558336
4,25,1977-05-06,148.25,-0.31931927237276575
4,26,1977-05-09,147.3,-0.9556048126065397
4,27,1977-05-10,147.5,-0.8213096097174152
4,28,1977-05-11,147.7,-0.6871963787036465
4,29,1977-05-12,147.2,-1.0228208079534948
5,0,2012-03-14,1644.88,-0.5951129372515152
5,1,2012-03-15,1658.43,0.3038739443740891
5,2,2012-03-16,1660.0,0.4075618206302099
5,3,2012-03-19,1664.52,0.7055305629507113
5,4,2012-03-20,1650.77,-0.20342911928182839
5,5,2012-03-21,1650.43,-0.2260010151248464
5,6,2012-03-22,1645.9,-0.527182831307229
5,7,2012-03-23,1661.9,0.5329128916829412
5,8,2012-03-26,1690.07,2.37477835288145
5,9,2012-03-27,1680.77,1.7701244407910786
5,10,2012-03-28,1663.68,0.6502171018185866
5,11,2012-03-29,1661.57,0.5111516769800935
5,12,2012-03-30,1668.35,0.9573803258999882
5,13,2012-04-02,1677.68,1.5684825921288372
5,14,2012-04-03,1646.13,-0.5118710750215009
5,15,2012-04-04,1620.77,-2.2131796362775837
5,16,2012-04-05,1631.23,-1.508253519947655
5,17,2012-04-06,1636.43,-1.159492608643023
5,18,2012-04-09,1640.2,-0.9073332483457915
5,19,2012-04-10,1659.93,0.402940883405183
5,20,2012-04-11,1659.13,0.35011632837595486
5,21,2012-04-12,1675.77,1.4436573163413253
5,22,2012-04-13,1658.15,0.2853715254296367
5,23,2012-04-16,1651.88,-0.12977086885715777
5,24,2012-04-17,1649.57,-0.28311539642891553
5,25,2012-04-18,1642.1,-0.7804698525464271
5,26,2012-04-19,1642.93,-0.7250966404299223
5,27,2012-04-20,1642.93,-0.7250966404299223
5,28,2012-04-23,1638.82,-0.9995683013908393
5,29,2012-04-24,1642.27,-0.7691260724059246
