代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌幅,成交额(百万),成交量(股)
SPTAUUSDOZ.IDC,伦敦金现,2026-06-23,4192.59,4198.44,4090.5,4112.07,-0.0165,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-06-24,4111.53,4115.057,3958.81,3991.7,-0.0293,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-06-25,4004.27,4044.29,3962.09,4023.77,0.008,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-06-26,4011.65,4096.73,3982.53,4088.87,0.0162,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-06-29,4088.44,4088.44,3999.896,4015.9,-0.0178,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-06-30,4017.68,4063.42,3942.43,4007.49,-0.0021,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-01,4011.62,4115.675,3959.84,4030.758,0.0058,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-02,4036.05,4144.15,4030.29,4122.41,0.0227,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-03,4124.478,4195.65,4120.74,4174.189,0.0126,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-06,4188.105,4203.21,4127.96,4164.383,-0.0023,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-07,4164.358,4180.46,4091.88,4105.495,-0.0141,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-08,4097.63,4134.02,4021.52,4074.45,-0.0076,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-09,4077.52,4138.09,4053.87,4123.55,0.0121,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-10,4124.9,4134.84,4071.86,4120.345,-0.0008,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-13,4098.33,4103.577,3986.29,4001.3,-0.0289,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-14,4000.23,4103.78,3983.22,4053.61,0.0131,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-15,4052.53,4081.5,4017.16,4060.0,0.0016,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-16,4064.353,4068.58,3968.92,3977.41,-0.0203,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-17,3977.71,4024.12,3959.37,4018.44,0.0103,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-20,4001.71,4040.808,3982.32,4008.08,-0.0026,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-21,4010.15,4087.43,3999.51,4077.28,0.0173,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-22,4082.3,4166.07,4075.358,4131.09,0.0132,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-23,4122.592,4141.05,4040.01,4049.34,-0.0198,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-24,4049.75,4082.14,4021.77,4052.6,0.0008,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-27,4090.048,4116.43,4065.1,4077.465,0.0061,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-28,4079.474,4082.617,4011.25,4028.3,-0.0121,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-29,4026.91,4116.46,3995.82,4067.575,0.0097,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-30,4068.59,4120.28,4028.12,4102.72,0.0086,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-07-31,4106.24,4111.79,4020.76,4041.18,-0.015,0.0,0.0
SPTAUUSDOZ.IDC,伦敦金现,2026-08-03,4077.78,4083.14,4047.09,4057.44,0.004,0.0,0.0
