date,shgold,usdcny,intl_gold,real_rate,spx,vix,gvz,dxy,premium
2011-11-09,367.02,6.3401,1772.23999,-0.04,2621.65,36.16,29.85,90.6991,5.7687337245326376
2011-11-10,360.15,6.3454,1759.19995,-0.04,2625.15,32.81,28.81,90.8588,1.257034168823452
2011-11-11,362.9,6.3454,1788.98999,-0.04,2678.75,30.04,27.85,90.8588,1.257034168823452
2011-11-14,367.36,6.3536,1781.0,-0.01,2657.22,31.13,27.85,90.7215,3.5500879322262904
2011-11-15,363.53,6.3464,1781.40002,0.04,2686.2,31.22,26.75,91.1081,0.0507424589515608
2011-11-16,362.82,6.3445,1762.34998,0.05,2639.61,33.51,26.94,91.1237,3.3353938267397325
2011-11-17,362.88,6.3505,1719.099976,0.06,2587.99,34.51,28.86,91.1822,11.885919025575843
2011-11-18,353.56,6.3565,1723.050049,0.05,2572.5,32.0,27.59,91.3676,1.42703629917861
2011-11-21,353.71,6.3603,1680.84998,0.07,2523.14,32.91,30.07,91.9978,9.995944418023726
2011-11-22,346.59,6.3605,1699.19995,0.05,2521.28,31.97,27.56,92.0193,-0.8873347685951671
2011-11-23,351.0,6.3576,1693.30005,-0.01,2460.08,33.98,27.81,92.7463,4.887041719420665
2011-11-24,348.8,6.3576,1694.75,-0.01,2460.08,33.98,27.81,92.7463,4.887041719420665
2011-11-25,346.5,6.3802,1680.13,0.05,2441.51,34.47,20.46,93.1455,1.8582257302232392
2011-11-28,351.23,6.3839,1712.30005,0.02,2527.34,32.13,26.61,92.4983,-0.21444481151633
2011-11-29,352.7,6.3769,1716.75,0.01,2515.51,30.64,25.74,92.2163,0.728579581076076
2011-11-30,353.22,6.3765,1745.69995,0.03,2620.34,27.8,25.32,91.4728,-4.66434520793473
2011-12-01,359.0,6.3655,1745.25,0.06,2626.2,27.41,24.55,91.227,1.825120163325664
2011-12-02,359.0,6.3596,1745.25,0.0,2626.93,27.52,23.51,91.3532,1.825120163325664
2011-12-05,359.0,6.3629,1721.64001,-0.01,2655.76,27.84,24.97,91.1087,6.80094781522979
2011-12-06,352.75,6.3645,1728.19995,0.01,2649.56,28.13,24.52,91.2817,-0.8799317367819981
2011-12-07,356.21,6.3642,1742.099976,-0.01,2649.21,28.67,24.15,91.2331,-0.2473976323951205
2011-12-08,357.9,6.3618,1708.80005,0.01,2596.38,30.59,25.18,91.668,8.388075036892928
2011-12-09,351.35,6.3641,1711.099976,0.05,2646.85,26.38,23.13,91.6122,1.2411261671002194
2011-12-12,346.96,6.3604,1666.30005,-0.01,2612.26,25.67,23.66,92.3375,6.215876733486539
2011-12-13,339.66,6.3648,1632.099976,-0.05,2579.27,25.41,24.1,92.5456,5.678617607510432
2011-12-14,337.53,6.371,1575.099976,-0.04,2539.31,26.04,28.63,93.2176,14.8987222628964
2011-12-15,322.33,6.3733,1570.69995,-0.01,2541.01,25.11,27.28,92.8858,0.4838414861671367
2011-12-16,328.75,6.3479,1597.94995,-0.05,2555.33,24.29,24.8,92.8252,2.625078765894557
2011-12-19,328.45,6.3376,1594.099976,-0.12,2523.14,24.92,23.42,92.8685,3.63870841231369
2011-12-20,329.7,6.3459,1615.65002,-0.1,2603.73,23.22,21.33,92.432,0.0665676879450529
2011-12-21,334.48,6.3386,1615.15002,-0.07,2577.97,21.43,21.22,92.5262,5.327656476859602
2011-12-22,331.51,6.3392,1604.69995,-0.07,2599.45,21.16,20.23,92.3883,4.456326842959811
2011-12-23,330.92,6.3364,1606.59998,-0.04,2618.64,20.73,19.67,92.3897,3.6237113742183737
2011-12-26,327.35,6.3364,1605.81995,-0.04,2618.64,20.73,19.67,92.3897,3.6237113742183737
2011-12-27,326.23,6.321,1592.90002,-0.02,2625.2,21.91,20.81,92.4137,2.513343468741482
2011-12-28,324.18,6.3211,1553.0,-0.07,2589.98,23.52,24.33,92.8374,8.567020753291388
2011-12-29,316.0,6.3187,1546.69995,-0.05,2613.74,22.65,23.12,92.7398,1.7867129401835768
2011-12-30,319.45,6.2939,1564.30005,-0.07,2605.15,23.4,23.24,92.4262,2.9085148071760614
2012-01-02,319.45,6.2939,1566.27002,-0.07,2605.15,23.4,23.24,92.4262,2.9085148071760614
2012-01-03,319.45,6.294,1604.14001,-0.04,2648.72,22.97,22.9,91.7551,2.9085148071760614
2012-01-04,327.33,6.2941,1612.40002,-0.08,2648.36,22.22,22.08,92.0345,1.0449527904576144
2012-01-05,331.95,6.3013,1623.0,-0.1,2669.86,21.48,22.34,92.5773,3.1442418055845565
2012-01-06,333.41,6.3088,1616.84998,-0.11,2674.22,20.63,21.3,92.7183,5.460310935296718
2012-01-09,330.3,6.3143,1611.5,-0.13,2676.56,21.07,21.47,92.7418,3.1505007475043385
2012-01-10,332.2,6.3141,1631.56006,-0.08,2702.5,20.69,21.51,92.2461,0.988613022778793
2012-01-11,336.2,6.3149,1641.80005,-0.1,2710.76,21.05,22.34,92.554,2.867637540951989
2012-01-12,336.98,6.3177,1650.099976,-0.1,2724.7,20.47,21.6,92.2274,1.813969862709996
2012-01-13,336.65,6.3065,1639.34998,-0.14,2710.67,20.91,21.2,92.5385,4.2578046242384175
2012-01-16,335.15,6.3065,1643.40002,-0.14,2710.67,20.91,21.2,92.5385,4.2578046242384175
2012-01-17,339.77,6.3136,1651.73999,-0.17,2728.08,22.2,21.6,92.0142,4.488581482341203
2012-01-18,338.65,6.3109,1661.25,-0.15,2769.71,20.89,21.14,91.6943,1.582383011558136
2012-01-19,340.68,6.3162,1657.59998,0.0,2788.33,19.87,20.34,91.3316,4.0705189552301135
2012-01-20,339.57,6.333,1666.90002,0.01,2786.7,18.28,19.58,91.3661,0.1716098940633514
2012-01-23,339.57,6.333,1677.0,0.02,2784.17,18.67,20.18,90.986,0.1716098940633514
2012-01-24,339.57,6.333,1665.19995,-0.01,2786.64,18.91,20.08,91.181,0.1716098940633514
2012-01-25,339.57,6.333,1711.90002,-0.12,2818.31,18.31,22.24,91.277,0.1716098940633514
2012-01-26,339.57,6.333,1721.5,-0.16,2805.28,18.57,21.71,90.3962,0.1716098940633514
2012-01-27,339.57,6.333,1738.89001,-0.18,2816.55,18.53,20.82,90.2559,0.1716098940633514
2012-01-30,353.21,6.331,1730.050049,-0.24,2811.94,19.4,21.23,90.4762,1.06484398157761
2012-01-31,355.04,6.308,1739.43005,-0.28,2813.84,19.44,20.93,90.5538,2.2718306492839133
2012-02-01,354.07,6.3076,1743.59998,-0.28,2848.27,18.55,21.54,90.0963,0.4785638642596836
2012-02-02,356.84,6.3017,1759.98999,-0.3,2859.68,17.98,21.93,89.8765,0.2586210560547783
2012-02-03,358.59,6.3027,1725.30005,-0.21,2905.66,17.1,21.05,89.8491,8.981479250405926
2012-02-06,353.36,6.312,1720.30005,-0.26,2901.99,17.76,21.2,89.7907,4.250288372691159
2012-02-07,352.63,6.3046,1746.5,-0.21,2904.08,17.65,20.45,89.5968,-1.3810887842204238
2012-02-08,357.66,6.2938,1733.55005,-0.21,2915.86,18.16,20.69,89.6555,6.87576977864228
2012-02-09,355.09,6.2947,1729.59998,-0.17,2927.23,18.63,20.03,89.6246,5.055020203321135
2012-02-10,353.1,6.2991,1719.84998,-0.24,2903.88,20.79,19.73,90.1024,4.794921503432136
2012-02-13,352.56,6.2972,1722.5,-0.22,2931.39,19.04,19.07,89.8895,3.823459096243198
2012-02-14,350.3,6.2995,1720.099976,-0.27,2931.83,19.54,19.24,90.1919,1.9221711764914176
2012-02-15,352.18,6.2998,1729.01001,-0.26,2915.83,21.14,19.28,90.1932,1.9809143344639888
2012-02-16,350.81,6.3014,1728.69995,-0.24,2959.85,19.22,19.21,90.3109,0.5847885308727427
2012-02-17,353.34,6.2985,1722.44995,-0.23,2951.78,17.78,18.61,90.23,4.541600782066325
2012-02-20,353.73,6.2985,1734.0,-0.23,2951.78,17.78,18.61,90.23,4.541600782066325
2012-02-21,355.59,6.296,1759.15002,-0.22,2948.57,18.19,19.94,90.0117,-0.4988172044947419
2012-02-22,358.22,6.296,1777.55005,-0.27,2933.17,18.19,19.84,90.2472,-1.5933687462825787
2012-02-23,362.47,6.298,1780.099976,-0.3,2956.98,16.8,19.76,90.1108,2.026009810857317
2012-02-24,362.31,6.2976,1773.48999,-0.29,2963.75,17.31,19.01,89.9104,3.2272420780940934
2012-02-27,360.9,6.3012,1766.30005,-0.32,2966.16,18.19,19.1,89.9635,3.0685702554374643
2012-02-28,361.92,6.2989,1785.84998,-0.31,2986.76,17.96,20.12,89.8103,0.2600440779334008
2012-02-29,364.75,6.2935,1695.19995,-0.28,2966.89,18.43,22.9,89.7487,21.74227143810185
2012-03-01,349.83,6.3001,1716.55005,-0.23,2988.97,17.26,19.53,89.7817,2.1380370374716904
2012-03-02,350.49,6.2982,1712.30005,-0.24,2976.19,17.29,18.96,90.135,3.7634844982076174
2012-03-05,348.82,6.3066,1706.69995,-0.2,2950.48,18.05,19.4,90.2748,2.766536413265385
2012-03-06,346.76,6.3082,1674.0,-0.21,2910.32,20.87,20.23,90.8237,7.250722908997318
2012-03-07,341.28,6.3097,1684.94995,-0.22,2935.69,19.07,19.18,90.6837,-0.5313298990467388
2012-03-08,344.61,6.3159,1700.65002,-0.21,2970.42,17.95,19.26,90.2598,-0.7252664914881279
2012-03-09,347.67,6.3109,1713.089966,-0.24,2988.34,17.11,19.41,90.4341,0.0840541601620543
2012-03-12,347.96,6.3258,1700.53003,-0.24,2983.66,15.64,19.21,90.6643,2.1078334022216154
2012-03-13,347.55,6.3266,1675.5,-0.2,3039.88,14.8,20.47,90.5363,6.745322069863505
2012-03-14,341.39,6.3315,1643.59998,-0.07,3040.73,15.31,20.6,90.9325,6.815007688202286
2012-03-15,337.36,6.3282,1658.22998,-0.08,3056.37,15.42,18.24,90.7866,-0.0171748978732466
2012-03-16,340.7,6.3222,1660.65002,-0.09,3055.26,14.47,18.99,90.5245,3.1507995420451493
2012-03-19,340.92,6.3191,1664.55005,-0.03,3078.32,15.04,17.83,90.292,2.7439676899706456
2012-03-20,338.52,6.3203,1650.34998,-0.04,3074.15,15.58,18.42,90.6065,3.1652335398267155
2012-03-21,338.6,6.3226,1650.5,-0.08,3075.32,15.13,18.04,90.6761,3.0927001784365302
2012-03-22,337.99,6.299,1644.84998,-0.08,3063.32,15.57,18.51,90.8225,4.879256063787011
2012-03-23,337.21,6.3021,1662.26001,-0.11,3067.92,14.82,18.3,90.6156,0.4077491593871514
2012-03-26,340.78,6.3139,1689.97998,-0.08,3122.57,14.26,19.22,90.3266,-2.279932024434629
2012-03-27,345.84,6.3061,1680.050049,-0.13,3120.35,15.59,18.62,90.2796,5.217124310804252
2012-03-28,342.4,6.3044,1662.18005,-0.11,3104.96,15.47,18.18,90.603,5.491037753950536
2012-03-29,339.97,6.3057,1661.38,-0.13,3095.36,15.48,17.43,90.7285,3.15376176314561
2012-03-30,340.2,6.2975,1668.90002,-0.09,3091.57,15.5,17.01,90.4593,2.2991889674794947
2012-04-02,340.2,6.2979,1677.75,-0.14,3119.7,15.64,17.1,90.247,2.2991889674794947
2012-04-03,340.2,6.2975,1645.32996,-0.06,3113.57,15.66,18.05,90.1921,2.2991889674794947
2012-04-04,340.2,6.2975,1620.22998,-0.05,3068.09,16.44,18.88,90.8284,2.2991889674794947
2012-04-05,333.06,6.3123,1631.25,-0.08,3080.5,16.7,18.02,90.8781,2.0059586541707404
2012-04-06,334.4,6.3052,1639.48999,-0.16,3080.5,16.7,18.02,90.9375,2.0479404263828656
2012-04-09,336.42,6.31,1641.28003,-0.17,3047.08,18.81,19.21,90.9624,3.451781333290512
2012-04-10,337.7,6.3105,1660.34998,-0.24,2991.22,20.39,19.94,91.2728,0.836349645859741
2012-04-11,340.23,6.3076,1657.94995,-0.25,3016.46,20.02,20.02,91.1768,4.007867294034497
2012-04-12,339.4,6.3069,1675.47998,-0.22,3055.55,17.2,18.64,90.7694,-0.3394082936647464
2012-04-13,342.62,6.3022,1659.0,-0.25,3011.33,19.55,18.44,91.0558,6.4729490250293225
2012-04-16,335.8,6.315,1652.099976,-0.26,2988.4,19.55,18.8,91.2355,0.3711463841689806
2012-04-17,336.3,6.3015,1649.90002,-0.26,3042.82,18.46,18.03,90.7661,2.033921390518742
2012-04-18,338.46,6.3026,1642.069946,-0.26,3031.45,18.64,17.54,90.9326,5.722203878675998
2012-04-19,336.01,6.3029,1643.59998,-0.21,3007.56,18.36,17.33,91.0833,2.9463154004533294
2012-04-20,336.3,6.308,1642.69995,-0.24,3000.45,17.44,16.72,90.8066,3.1493486392207046
2012-04-23,335.92,6.3084,1638.69995,-0.26,2970.45,18.97,17.11,91.079,3.559501516549574
2012-04-24,335.12,6.3073,1641.0,-0.25,2961.6,18.1,17.64,90.8153,2.351041522658249
2012-04-25,336.2,6.3039,1644.69995,-0.24,3029.63,16.82,17.45,90.756,2.860536119568565
2012-04-26,338.03,6.3054,1656.90002,-0.29,3050.61,16.24,16.94,90.6428,2.1379818635201677
2012-04-27,338.22,6.3093,1662.050049,-0.3,3069.2,16.32,16.61,90.3269,1.0755508493995762
2012-04-30,338.22,6.279,1664.35999,-0.3,3046.36,17.15,16.93,90.3634,1.0755508493995762
2012-05-01,338.22,6.3089,1662.099976,-0.28,3050.44,16.6,16.47,90.3227,1.0755508493995762
2012-05-02,338.15,6.307,1653.5,-0.28,3059.85,16.88,16.55,90.6144,2.8621867313967755
2012-05-03,335.92,6.3052,1635.76001,-0.27,3024.3,17.56,17.45,90.6839,4.324069797546883
2012-05-04,334.56,6.3059,1642.82996,-0.3,2956.34,19.16,16.32,91.0497,1.493899890237401
2012-05-07,335.39,6.3074,1639.15002,-0.27,2957.76,18.94,16.38,91.0747,2.990918348481671
2012-05-08,333.59,6.3076,1605.0,-0.28,2946.27,19.05,17.93,91.4107,8.105794042471075
2012-05-09,325.98,6.3096,1589.33997,-0.27,2934.71,20.08,19.32,91.7632,3.569355708778744
