匹配区间,排名,后续数据点序号,日期,收盘价(元),相对区间结束时的涨跌幅
2009-02-20 至 2012-02-09,1,0,2012-02-09,1729.4,0.0
2009-02-20 至 2012-02-09,1,1,2012-02-10,1722.0,-0.00427894067306589
2009-02-20 至 2012-02-09,1,2,2012-02-13,1722.27,-0.004122817162021564
2009-02-20 至 2012-02-09,1,3,2012-02-14,1720.18,-0.0053313287845495605
2009-02-20 至 2012-02-09,1,4,2012-02-15,1728.15,-0.0007227940326124394
2009-02-20 至 2012-02-09,1,5,2012-02-16,1728.07,-0.0007690528506997252
2009-02-20 至 2012-02-09,1,6,2012-02-17,1723.38,-0.0034809760610616802
2009-02-20 至 2012-02-09,1,7,2012-02-20,1734.95,0.0032092055047994172
2009-02-20 至 2012-02-09,1,8,2012-02-21,1759.13,0.017190933271654885
2009-02-20 至 2012-02-09,1,9,2012-02-22,1776.22,0.027072973285532598
2009-02-20 至 2012-02-09,1,10,2012-02-23,1780.68,0.029651902393893925
2009-02-20 至 2012-02-09,1,11,2012-02-24,1772.45,0.024893026483173264
2009-02-20 至 2012-02-09,1,12,2012-02-27,1767.68,0.022134844454724245
2009-02-20 至 2012-02-09,1,13,2012-02-28,1784.23,0.031704637446513306
2009-02-20 至 2012-02-09,1,14,2012-02-29,1696.85,-0.018821556609228685
2009-02-20 至 2012-02-09,1,15,2012-03-01,1718.28,-0.006429975714120517
2009-02-20 至 2012-02-09,1,16,2012-03-02,1712.6,-0.009714351798311704
2009-02-20 至 2012-02-09,1,17,2012-03-05,1706.5,-0.013241586677460448
2009-02-20 至 2012-02-09,1,18,2012-03-06,1674.32,-0.03184919625303584
2009-02-20 至 2012-02-09,1,19,2012-03-07,1684.98,-0.025685208742916688
2009-02-20 至 2012-02-09,1,20,2012-03-08,1699.77,-0.017133109749046027
2001-06-25 至 2004-06-11,2,0,2004-06-11,384.55,0.0
2001-06-25 至 2004-06-11,2,1,2004-06-14,383.55,-0.0026004420751527535
2001-06-25 至 2004-06-11,2,2,2004-06-15,389.05,0.011701989338187557
2001-06-25 至 2004-06-11,2,3,2004-06-16,384.65,0.000260044207515131
2001-06-25 至 2004-06-11,2,4,2004-06-17,388.88,0.011259914185411501
2001-06-25 至 2004-06-11,2,5,2004-06-18,394.85,0.026784553374073594
2001-06-25 至 2004-06-11,2,6,2004-06-21,393.85,0.02418411129892095
2001-06-25 至 2004-06-11,2,7,2004-06-22,394.95,0.027044597581588725
2001-06-25 至 2004-06-11,2,8,2004-06-23,395.75,0.029124951241711106
2001-06-25 至 2004-06-11,2,9,2004-06-24,402.15,0.04576778052268882
2001-06-25 至 2004-06-11,2,10,2004-06-25,401.55,0.04420751527759714
2001-06-25 至 2004-06-11,2,11,2004-06-28,400.88,0.042465219087244765
2001-06-25 至 2004-06-11,2,12,2004-06-29,392.55,0.02080353660122225
2001-06-25 至 2004-06-11,2,13,2004-06-30,394.25,0.02522428812898192
2001-06-25 至 2004-06-11,2,14,2004-07-01,395.95,0.02964503965674159
2001-06-25 至 2004-06-11,2,15,2004-07-02,397.95,0.0348459238070471
2001-06-25 至 2004-06-11,2,16,2004-07-05,398.25,0.035626056429592934
2001-06-25 至 2004-06-11,2,17,2004-07-06,392.75,0.021323625016252734
2001-06-25 至 2004-06-11,2,18,2004-07-07,402.45,0.046547913145234654
2001-06-25 至 2004-06-11,2,19,2004-07-08,407.95,0.060850344558574854
2001-06-25 至 2004-06-11,2,20,2004-07-09,407.65,0.06007021193602902
1985-01-02 至 1988-02-17,3,0,1988-02-17,445.6,0.0
1985-01-02 至 1988-02-17,3,1,1988-02-18,447.25,0.003702872531418322
1985-01-02 至 1988-02-17,3,2,1988-02-19,442.9,-0.006059245960502779
1985-01-02 至 1988-02-17,3,3,1988-02-22,445.5,-0.00022441651705573662
1985-01-02 至 1988-02-17,3,4,1988-02-23,442.4,-0.007181328545781018
1985-01-02 至 1988-02-17,3,5,1988-02-24,435.75,-0.022105026929982063
1985-01-02 至 1988-02-17,3,6,1988-02-25,432.1,-0.030296229802513452
1985-01-02 至 1988-02-17,3,7,1988-02-26,430.45,-0.033999102333931885
1985-01-02 至 1988-02-17,3,8,1988-02-29,426.15,-0.04364901256732501
1985-01-02 至 1988-02-17,3,9,1988-03-01,429.3,-0.03657989228007186
1985-01-02 至 1988-02-17,3,10,1988-03-02,428.9,-0.03747755834829458
1985-01-02 至 1988-02-17,3,11,1988-03-03,429.1,-0.03702872531418311
1985-01-02 至 1988-02-17,3,12,1988-03-04,431.8,-0.03096947935368044
1985-01-02 至 1988-02-17,3,13,1988-03-07,435.9,-0.02176840215439868
1985-01-02 至 1988-02-17,3,14,1988-03-08,436.35,-0.020758527827648088
1985-01-02 至 1988-02-17,3,15,1988-03-09,436.5,-0.020421903052064705
1985-01-02 至 1988-02-17,3,16,1988-03-10,442.4,-0.007181328545781018
1985-01-02 至 1988-02-17,3,17,1988-03-11,441.8,-0.008527827648114883
1985-01-02 至 1988-02-17,3,18,1988-03-14,442.25,-0.007517953321364512
1985-01-02 至 1988-02-17,3,19,1988-03-15,442.2,-0.0076301615798923805
1985-01-02 至 1988-02-17,3,20,1988-03-16,446.2,0.0013464991023337536
1977-11-15 至 1980-12-12,4,0,1980-12-12,562.75,0.0
1977-11-15 至 1980-12-12,4,1,1980-12-15,579.0,0.02887605508662827
1977-11-15 至 1980-12-12,4,2,1980-12-16,561.0,-0.003109729009329154
1977-11-15 至 1980-12-12,4,3,1980-12-17,575.5,0.02265659706796974
