匹配区间,排名,后续数据点序号,日期,收盘价(元),相对区间结束时的涨跌幅
1990-03-12 至 1990-05-09,1,0,1990-05-09,370.3,0.0
1990-03-12 至 1990-05-09,1,1,1990-05-10,371.75,0.003915743991358411
1990-03-12 至 1990-05-09,1,2,1990-05-11,368.55,-0.00472589792060496
1990-03-12 至 1990-05-09,1,3,1990-05-14,369.0,-0.0035106670267350815
1990-03-12 至 1990-05-09,1,4,1990-05-15,367.75,-0.00688630839859572
1990-03-12 至 1990-05-09,1,5,1990-05-16,369.85,-0.0012152308938697676
1990-03-12 至 1990-05-09,1,6,1990-05-17,369.2,-0.0029705644072374193
1990-03-12 至 1990-05-09,1,7,1990-05-18,369.9,-0.0010802052389955463
1990-03-12 至 1990-05-09,1,8,1990-05-21,373.1,0.007561436672967936
1990-03-12 至 1990-05-09,1,9,1990-05-22,375.1,0.012962462867945002
1990-03-12 至 1990-05-09,1,10,1990-05-23,364.5,-0.015662975965433423
2018-04-11 至 2018-06-05,2,0,2018-06-05,1296.3,0.0
2018-04-11 至 2018-06-05,2,1,2018-06-06,1296.4,7.714263673541666e-05
2018-04-11 至 2018-06-05,2,2,2018-06-07,1297.1,0.0006171410938824451
2018-04-11 至 2018-06-05,2,3,2018-06-08,1298.5,0.001697138008177168
2018-04-11 至 2018-06-05,2,4,2018-06-11,1300.4,0.0031628481061483082
2018-04-11 至 2018-06-05,2,5,2018-06-12,1295.6,-0.0005399984571472505
2018-04-11 至 2018-06-05,2,6,2018-06-13,1299.6,0.002545707012265641
2018-04-11 至 2018-06-05,2,7,2018-06-14,1302.4,0.004705700840854865
2018-04-11 至 2018-06-05,2,8,2018-06-15,1278.45,-0.01376996065725522
2018-04-11 至 2018-06-05,2,9,2018-06-18,1278.1,-0.014039959885828956
2018-04-11 至 2018-06-05,2,10,2018-06-19,1274.6,-0.01673995217156521
1983-02-11 至 1983-04-11,3,0,1983-04-11,426.75,0.0
1983-02-11 至 1983-04-11,3,1,1983-04-12,432.75,0.014059753954305698
1983-02-11 至 1983-04-11,3,2,1983-04-13,429.25,0.005858230814294041
1983-02-11 至 1983-04-11,3,3,1983-04-14,435.5,0.020503807850029254
1983-02-11 至 1983-04-11,3,4,1983-04-15,436.5,0.02284710017574687
1983-02-11 至 1983-04-11,3,5,1983-04-18,443.0,0.0380785002929116
1983-02-11 至 1983-04-11,3,6,1983-04-19,439.5,0.02987697715289972
1983-02-11 至 1983-04-11,3,7,1983-04-20,433.75,0.016403046280023537
1983-02-11 至 1983-04-11,3,8,1983-04-21,439.5,0.02987697715289972
1983-02-11 至 1983-04-11,3,9,1983-04-22,437.0,0.02401874633860568
1983-02-11 至 1983-04-11,3,10,1983-04-25,441.5,0.034563561804335174
2006-08-30 至 2006-10-24,4,0,2006-10-24,586.45,0.0
2006-08-30 至 2006-10-24,4,1,2006-10-25,591.05,0.007843805951061267
2006-08-30 至 2006-10-24,4,2,2006-10-26,597.15,0.018245374712251516
2006-08-30 至 2006-10-24,4,3,2006-10-27,599.95,0.023019865291158625
2006-08-30 至 2006-10-24,4,4,2006-10-30,604.1,0.030096342399181575
2006-08-30 至 2006-10-24,4,5,2006-10-31,606.6,0.03435928041606262
2006-08-30 至 2006-10-24,4,6,2006-11-01,617.6,0.0531162076903402
2006-08-30 至 2006-10-24,4,7,2006-11-02,624.7,0.06522295165828296
2006-08-30 至 2006-10-24,4,8,2006-11-03,627.4,0.06982692471651442
2006-08-30 至 2006-10-24,4,9,2006-11-06,623.2,0.0626651888481542
2006-08-30 至 2006-10-24,4,10,2006-11-07,624.8,0.06539346917895794
1985-04-16 至 1985-06-12,5,0,1985-06-12,314.5,0.0
1985-04-16 至 1985-06-12,5,1,1985-06-13,313.75,-0.0023847376788552754
1985-04-16 至 1985-06-12,5,2,1985-06-14,318.25,0.0119236883942766
1985-04-16 至 1985-06-12,5,3,1985-06-17,318.9,0.013990461049284475
1985-04-16 至 1985-06-12,5,4,1985-06-18,323.75,0.02941176470588225
1985-04-16 至 1985-06-12,5,5,1985-06-19,325.4,0.0346581875993639
1985-04-16 至 1985-06-12,5,6,1985-06-20,318.1,0.011446740858505722
1985-04-16 至 1985-06-12,5,7,1985-06-21,313.45,-0.0033386327503974744
1985-04-16 至 1985-06-12,5,8,1985-06-24,314.65,0.0004769475357710995
1985-04-16 至 1985-06-12,5,9,1985-06-25,315.5,0.0031796502384737746
1985-04-16 至 1985-06-12,5,10,1985-06-26,316.75,0.007154213036566048
