匹配区间,排名,后续数据点序号,日期,收盘价(元),相对区间结束时的涨跌幅
1984-11-20 至 1985-02-21,1,0,1985-02-21,299.85,0.0
1984-11-20 至 1985-02-21,1,1,1985-02-22,298.4,-0.004835751208937977
1984-11-20 至 1985-02-21,1,2,1985-02-25,284.25,-0.052026013006503335
1984-11-20 至 1985-02-21,1,3,1985-02-26,285.75,-0.047023511755878045
1984-11-20 至 1985-02-21,1,4,1985-02-27,290.8,-0.03018175754543939
1984-11-20 至 1985-02-21,1,5,1985-02-28,287.75,-0.04035351008837762
1984-11-20 至 1985-02-21,1,6,1985-03-01,287.5,-0.04118726029681519
1984-11-20 至 1985-02-21,1,7,1985-03-04,288.65,-0.037352009338002534
1984-11-20 至 1985-02-21,1,8,1985-03-05,287.9,-0.039853259963315124
1984-11-20 至 1985-02-21,1,9,1985-03-06,287.4,-0.04152076038019026
1984-11-20 至 1985-02-21,1,10,1985-03-07,289.6,-0.03418375854593958
1984-11-20 至 1985-02-21,1,11,1985-03-08,291.0,-0.02951475737868947
1984-11-20 至 1985-02-21,1,12,1985-03-11,291.0,-0.02951475737868947
1984-11-20 至 1985-02-21,1,13,1985-03-12,288.45,-0.038019009504752455
1984-11-20 至 1985-02-21,1,14,1985-03-13,290.25,-0.03201600800400206
1984-11-20 至 1985-02-21,1,15,1985-03-14,290.75,-0.030348507587126927
1984-11-20 至 1985-02-21,1,16,1985-03-15,292.7,-0.02384525596131415
1984-11-20 至 1985-02-21,1,17,1985-03-18,298.85,-0.003335000833750157
1984-11-20 至 1985-02-21,1,18,1985-03-19,316.75,0.05636151409037837
1984-11-20 至 1985-02-21,1,19,1985-03-20,324.0,0.08054027013506748
1984-11-20 至 1985-02-21,1,20,1985-03-21,312.5,0.04218776054694007
2021-01-20 至 2021-04-13,2,0,2021-04-13,1745.0,0.0
2021-01-20 至 2021-04-13,2,1,2021-04-14,1736.1,-0.005100286532951359
2021-01-20 至 2021-04-13,2,2,2021-04-15,1763.5,0.010601719197707693
2021-01-20 至 2021-04-13,2,3,2021-04-16,1775.85,0.017679083094555903
2021-01-20 至 2021-04-13,2,4,2021-04-19,1771.2,0.015014326647564413
