未来数据点,加权均值,加权中位数,50%下限,50%上限,80%下限,80%上限
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.004197991061025511,0.0017248245172447221,-0.0031478973961011317,0.009395673068337808,-0.008710574333246027,0.019655568201041418
2,0.006060183774946004,0.002864877459015961,-0.005989701450753142,0.013671771522287143,-0.014490361439468646,0.022739574062068467
3,0.008161650765766594,0.004300825660121154,-0.006657053837680529,0.020207148569670225,-0.017846623980907483,0.03350387918594654
4,0.0072399064437557534,0.004877288134078225,-0.007937206566283241,0.019344681919449536,-0.017711996950632063,0.03241952799622046
5,0.008364755733975038,0.008318247096106674,-0.007709095858597014,0.023873988145923803,-0.024475365700966485,0.04170496909395242
6,0.008269181961447825,0.007907923530318854,-0.009237387193269744,0.025984106932316488,-0.03219359341708495,0.052181586089417094
7,0.008382592694479633,0.006594479903607034,-0.012294818632634888,0.026976006603036836,-0.030713049739615847,0.05642366202983272
8,0.006440840444071047,0.005993979800494366,-0.012380110367257405,0.02599218945261886,-0.039965201589217,0.052068422689967885
9,0.008639633008588589,0.006237882430794276,-0.01591027554146478,0.02712720420509991,-0.04445701205586146,0.06668122411940657
10,0.0072896484360332105,0.004551945101437611,-0.015578147142146396,0.028069337507193683,-0.050546746555979134,0.06559104528894769
